2020-10-09 09:14:01.364 febs [main] INFO  c.z.p.ProblemToolApplication - Starting ProblemToolApplication on DESKTOP-3C6A88J with PID 2820 (D:\zkcm\workSource\problemtool_server\backend\target\classes started by lastday in D:\zkcm\workSource\problemtool_server\backend)
2020-10-09 09:22:15.029 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_MisfireHandler] INFO  p6spy - 
2020-10-09 09:22:15.963 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:22:15.967 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2020-10-09 09:22:15.967 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "localhost.localdomain1601201272083"'s failed in-progress jobs.
2020-10-09 09:22:16.038 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:22:16.047 febs [MyScheduler_QuartzSchedulerThread] INFO  p6spy - 
2020-10-09 09:22:27.030 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_MisfireHandler] INFO  p6spy - 
2020-10-09 09:22:30.972 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:22:30.976 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2020-10-09 09:22:30.977 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "localhost.localdomain1601201272083"'s failed in-progress jobs.
2020-10-09 09:22:31.026 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:22:31.034 febs [MyScheduler_QuartzSchedulerThread] INFO  p6spy - 
2020-10-09 09:22:39.031 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_MisfireHandler] INFO  p6spy - 
2020-10-09 09:22:45.968 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:22:45.971 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2020-10-09 09:22:45.971 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "localhost.localdomain1601201272083"'s failed in-progress jobs.
2020-10-09 09:22:46.030 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:22:46.038 febs [MyScheduler_QuartzSchedulerThread] INFO  p6spy - 
2020-10-09 09:22:51.032 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_MisfireHandler] INFO  p6spy - 
2020-10-09 09:23:00.979 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:23:00.984 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2020-10-09 09:23:00.985 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "localhost.localdomain1601201272083"'s failed in-progress jobs.
2020-10-09 09:23:01.042 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:23:01.050 febs [MyScheduler_QuartzSchedulerThread] INFO  p6spy - 
2020-10-09 09:23:03.031 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_MisfireHandler] INFO  p6spy - 
2020-10-09 09:23:15.032 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_MisfireHandler] INFO  p6spy - 
2020-10-09 09:23:15.984 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:23:15.990 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2020-10-09 09:23:15.990 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "localhost.localdomain1601201272083"'s failed in-progress jobs.
2020-10-09 09:23:16.036 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:23:16.046 febs [MyScheduler_QuartzSchedulerThread] INFO  p6spy - 
2020-10-09 09:23:27.266 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_MisfireHandler] INFO  p6spy - 
2020-10-09 09:23:31.148 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:23:31.270 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2020-10-09 09:23:31.270 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "localhost.localdomain1601201272083"'s failed in-progress jobs.
2020-10-09 09:23:31.587 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:23:31.996 febs [MyScheduler_QuartzSchedulerThread] INFO  p6spy - 
2020-10-09 09:23:39.033 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_MisfireHandler] INFO  p6spy - 
2020-10-09 09:23:46.081 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:23:46.087 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2020-10-09 09:23:46.087 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "localhost.localdomain1601201272083"'s failed in-progress jobs.
2020-10-09 09:23:46.134 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:23:46.140 febs [MyScheduler_QuartzSchedulerThread] INFO  p6spy - 
2020-10-09 09:23:51.034 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_MisfireHandler] INFO  p6spy - 
2020-10-09 09:24:01.087 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:24:01.092 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2020-10-09 09:24:01.092 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "localhost.localdomain1601201272083"'s failed in-progress jobs.
2020-10-09 09:24:01.138 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:24:01.144 febs [MyScheduler_QuartzSchedulerThread] INFO  p6spy - 
2020-10-09 09:24:03.033 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_MisfireHandler] INFO  p6spy - 
2020-10-09 09:24:15.033 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_MisfireHandler] INFO  p6spy - 
2020-10-09 09:24:16.095 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:24:16.101 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2020-10-09 09:24:16.101 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "localhost.localdomain1601201272083"'s failed in-progress jobs.
2020-10-09 09:24:16.158 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:24:16.164 febs [MyScheduler_QuartzSchedulerThread] INFO  p6spy - 
2020-10-09 09:24:27.033 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_MisfireHandler] INFO  p6spy - 
2020-10-09 09:24:31.095 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:24:31.100 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2020-10-09 09:24:31.100 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "localhost.localdomain1601201272083"'s failed in-progress jobs.
2020-10-09 09:24:31.152 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:24:31.161 febs [MyScheduler_QuartzSchedulerThread] INFO  p6spy - 
2020-10-09 09:24:39.037 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_MisfireHandler] INFO  p6spy - 
2020-10-09 09:24:46.111 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:24:46.117 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2020-10-09 09:24:46.117 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "localhost.localdomain1601201272083"'s failed in-progress jobs.
2020-10-09 09:24:46.197 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:24:46.203 febs [MyScheduler_QuartzSchedulerThread] INFO  p6spy - 
2020-10-09 09:24:51.036 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_MisfireHandler] INFO  p6spy - 
2020-10-09 09:25:01.105 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:25:01.110 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2020-10-09 09:25:01.111 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "localhost.localdomain1601201272083"'s failed in-progress jobs.
2020-10-09 09:25:01.157 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:25:01.166 febs [MyScheduler_QuartzSchedulerThread] INFO  p6spy - 
2020-10-09 09:25:03.036 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_MisfireHandler] INFO  p6spy - 
2020-10-09 09:25:15.036 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_MisfireHandler] INFO  p6spy - 
2020-10-09 09:25:16.113 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:25:16.119 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2020-10-09 09:25:16.119 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "localhost.localdomain1601201272083"'s failed in-progress jobs.
2020-10-09 09:25:16.173 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:25:16.180 febs [MyScheduler_QuartzSchedulerThread] INFO  p6spy - 
2020-10-09 09:25:27.038 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_MisfireHandler] INFO  p6spy - 
2020-10-09 09:25:31.122 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:25:31.125 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2020-10-09 09:25:31.126 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "localhost.localdomain1601201272083"'s failed in-progress jobs.
2020-10-09 09:25:31.181 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:25:31.190 febs [MyScheduler_QuartzSchedulerThread] INFO  p6spy - 
2020-10-09 09:25:39.039 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_MisfireHandler] INFO  p6spy - 
2020-10-09 09:25:46.119 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:25:46.124 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2020-10-09 09:25:46.124 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "localhost.localdomain1601201272083"'s failed in-progress jobs.
2020-10-09 09:25:46.167 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:25:46.174 febs [MyScheduler_QuartzSchedulerThread] INFO  p6spy - 
2020-10-09 09:25:51.038 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_MisfireHandler] INFO  p6spy - 
2020-10-09 09:26:01.124 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:26:01.128 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2020-10-09 09:26:01.129 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "localhost.localdomain1601201272083"'s failed in-progress jobs.
2020-10-09 09:26:01.166 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:26:01.172 febs [MyScheduler_QuartzSchedulerThread] INFO  p6spy - 
2020-10-09 09:26:03.038 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_MisfireHandler] INFO  p6spy - 
2020-10-09 09:26:15.039 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_MisfireHandler] INFO  p6spy - 
2020-10-09 09:26:16.135 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:26:16.139 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2020-10-09 09:26:16.139 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "localhost.localdomain1601201272083"'s failed in-progress jobs.
2020-10-09 09:26:16.203 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:26:16.213 febs [MyScheduler_QuartzSchedulerThread] INFO  p6spy - 
2020-10-09 09:26:27.038 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_MisfireHandler] INFO  p6spy - 
2020-10-09 09:26:31.140 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:26:31.146 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2020-10-09 09:26:31.146 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "localhost.localdomain1601201272083"'s failed in-progress jobs.
2020-10-09 09:26:31.220 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:26:31.226 febs [MyScheduler_QuartzSchedulerThread] INFO  p6spy - 
2020-10-09 09:26:39.037 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_MisfireHandler] INFO  p6spy - 
2020-10-09 09:26:46.134 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:26:46.140 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2020-10-09 09:26:46.140 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "localhost.localdomain1601201272083"'s failed in-progress jobs.
2020-10-09 09:26:46.186 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:26:46.195 febs [MyScheduler_QuartzSchedulerThread] INFO  p6spy - 
2020-10-09 09:26:51.039 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_MisfireHandler] INFO  p6spy - 
2020-10-09 09:27:01.135 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:27:01.141 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2020-10-09 09:27:01.141 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "localhost.localdomain1601201272083"'s failed in-progress jobs.
2020-10-09 09:27:01.187 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:27:01.195 febs [MyScheduler_QuartzSchedulerThread] INFO  p6spy - 
2020-10-09 09:27:03.041 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_MisfireHandler] INFO  p6spy - 
2020-10-09 09:27:15.042 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_MisfireHandler] INFO  p6spy - 
2020-10-09 09:27:16.140 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:27:16.146 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2020-10-09 09:27:16.146 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "localhost.localdomain1601201272083"'s failed in-progress jobs.
2020-10-09 09:27:16.192 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:27:16.201 febs [MyScheduler_QuartzSchedulerThread] INFO  p6spy - 
2020-10-09 09:27:27.044 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_MisfireHandler] INFO  p6spy - 
2020-10-09 09:27:31.163 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:27:31.168 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2020-10-09 09:27:31.169 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "localhost.localdomain1601201272083"'s failed in-progress jobs.
2020-10-09 09:27:31.220 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:27:31.230 febs [MyScheduler_QuartzSchedulerThread] INFO  p6spy - 
2020-10-09 09:27:39.043 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_MisfireHandler] INFO  p6spy - 
2020-10-09 09:27:46.156 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:27:46.161 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2020-10-09 09:27:46.162 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "localhost.localdomain1601201272083"'s failed in-progress jobs.
2020-10-09 09:27:46.208 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:27:46.217 febs [MyScheduler_QuartzSchedulerThread] INFO  p6spy - 
2020-10-09 09:27:51.045 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_MisfireHandler] INFO  p6spy - 
2020-10-09 09:28:01.161 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:28:01.166 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2020-10-09 09:28:01.166 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "localhost.localdomain1601201272083"'s failed in-progress jobs.
2020-10-09 09:28:01.230 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:28:01.238 febs [MyScheduler_QuartzSchedulerThread] INFO  p6spy - 
2020-10-09 09:28:03.044 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_MisfireHandler] INFO  p6spy - 
2020-10-09 09:28:15.044 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_MisfireHandler] INFO  p6spy - 
2020-10-09 09:28:16.172 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:28:16.176 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2020-10-09 09:28:16.176 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "localhost.localdomain1601201272083"'s failed in-progress jobs.
2020-10-09 09:28:16.230 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:28:16.238 febs [MyScheduler_QuartzSchedulerThread] INFO  p6spy - 
2020-10-09 09:28:27.046 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_MisfireHandler] INFO  p6spy - 
2020-10-09 09:28:31.166 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:28:31.170 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2020-10-09 09:28:31.170 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "localhost.localdomain1601201272083"'s failed in-progress jobs.
2020-10-09 09:28:31.229 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:28:31.235 febs [MyScheduler_QuartzSchedulerThread] INFO  p6spy - 
2020-10-09 09:28:39.046 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_MisfireHandler] INFO  p6spy - 
2020-10-09 09:28:46.171 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  p6spy - 
2020-10-09 09:28:46.176 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2020-10-09 09:28:46.176 febs [QuartzScheduler_MyScheduler-DESKTOP-3C6A88J1602206050057_ClusterManager] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "localhost.localdomain1601201272083"'s failed in-progress jobs.
